"CRUISE","REGION","AGE","SPECIES_CODE","LENGTH","WEIGHT"
201801,"AI",8,21740,460,724
201801,"AI",8,21740,460,764
201801,"AI",8,21740,470,640
201801,"AI",8,21740,470,706
201801,"AI",8,21740,470,776
201801,"AI",8,21740,480,976
201801,"AI",8,21740,490,720
201801,"AI",8,21740,490,775
201801,"AI",8,21740,490,815
201801,"AI",8,21740,500,806
201801,"AI",8,21740,500,810
201801,"AI",8,21740,500,954
201801,"AI",8,21740,500,970
201801,"AI",8,21740,500,1010
201801,"AI",8,21740,510,838
201801,"AI",8,21740,510,890
201801,"AI",8,21740,510,912
201801,"AI",8,21740,510,922
201801,"AI",8,21740,510,1020
201801,"AI",8,21740,520,845
201801,"AI",8,21740,520,920
201801,"AI",8,21740,520,940
201801,"AI",8,21740,520,960
201801,"AI",8,21740,520,966
201801,"AI",8,21740,520,1032
201801,"AI",8,21740,520,1055
201801,"AI",8,21740,520,1224
201801,"AI",8,21740,520,1255
201801,"AI",8,21740,530,830
201801,"AI",8,21740,530,940
201801,"AI",8,21740,530,1014
201801,"AI",8,21740,530,1116
201801,"AI",8,21740,530,1122
201801,"AI",8,21740,530,1195
201801,"AI",8,21740,540,855
201801,"AI",8,21740,540,988
201801,"AI",8,21740,540,995
201801,"AI",8,21740,540,1030
201801,"AI",8,21740,540,1110
201801,"AI",8,21740,550,1050
201801,"AI",8,21740,550,1090
201801,"AI",8,21740,550,1140
201801,"AI",8,21740,550,1165
201801,"AI",8,21740,560,1049
201801,"AI",8,21740,560,1052
201801,"AI",8,21740,570,1065
201801,"AI",8,21740,570,1094
201801,"AI",8,21740,580,1102
201801,"AI",8,21740,580,1302
201801,"AI",8,21740,580,1830
201801,"AI",8,21740,590,1724
201801,"AI",8,21740,590,1740
201801,"AI",8,21740,600,1150
201801,"AI",8,21740,600,1232
201801,"AI",8,21740,600,1880
201801,"AI",8,21740,610,1710
201801,"AI",8,21740,640,2194
201801,"AI",9,21740,470,804
201801,"AI",9,21740,480,750
201801,"AI",9,21740,490,780
201801,"AI",9,21740,490,850
201801,"AI",9,21740,490,962
201801,"AI",9,21740,500,835
201801,"AI",9,21740,500,932
201801,"AI",9,21740,500,935
201801,"AI",9,21740,510,750
201801,"AI",9,21740,510,892
201801,"AI",9,21740,510,950
201801,"AI",9,21740,510,1034
201801,"AI",9,21740,510,1036
201801,"AI",9,21740,510,1096
201801,"AI",9,21740,510,1142
201801,"AI",9,21740,520,960
201801,"AI",9,21740,520,965
201801,"AI",9,21740,520,970
201801,"AI",9,21740,520,1016
201801,"AI",9,21740,520,1105
201801,"AI",9,21740,530,790
201801,"AI",9,21740,530,1065
201801,"AI",9,21740,530,1118
201801,"AI",9,21740,540,1052
201801,"AI",9,21740,540,1054
201801,"AI",9,21740,540,1055
201801,"AI",9,21740,540,1220
201801,"AI",9,21740,550,1090
201801,"AI",9,21740,550,1138
201801,"AI",9,21740,550,1140
201801,"AI",9,21740,560,1278
201801,"AI",9,21740,560,1306
201801,"AI",9,21740,560,1402
201801,"AI",9,21740,570,1092
201801,"AI",9,21740,570,1210
201801,"AI",9,21740,570,1268
201801,"AI",9,21740,570,1585
201801,"AI",9,21740,580,1160
201801,"AI",9,21740,580,1440
201801,"AI",9,21740,580,1510
201801,"AI",9,21740,590,1296
201801,"AI",9,21740,590,1560
201801,"AI",9,21740,600,1480
201801,"AI",9,21740,600,1574
201801,"AI",9,21740,610,1306
201801,"AI",9,21740,610,1336
201801,"AI",9,21740,620,1168
201801,"AI",9,21740,630,1600
201801,"AI",9,21740,630,1740
201801,"AI",9,21740,640,2234
201801,"AI",9,21740,650,1922
201801,"AI",10,21740,480,766
201801,"AI",10,21740,500,790
201801,"AI",10,21740,520,952
201801,"AI",10,21740,520,1030
201801,"AI",10,21740,530,985
201801,"AI",10,21740,530,1090
201801,"AI",10,21740,540,870
201801,"AI",10,21740,540,1146
201801,"AI",10,21740,550,956
201801,"AI",10,21740,550,1034
201801,"AI",10,21740,550,1082
201801,"AI",10,21740,560,1020
201801,"AI",10,21740,570,1040
201801,"AI",10,21740,570,1388
201801,"AI",10,21740,580,1148
201801,"AI",10,21740,580,1314
201801,"AI",10,21740,580,1415
201801,"AI",10,21740,590,1270
201801,"AI",10,21740,590,1335
201801,"AI",10,21740,590,1376
201801,"AI",10,21740,590,1420
